timestamp,event_type,cycle_id,data,metadata
1755192523.4340436,T1_image,cycle_545_1755192523434,640x480,
1755192523.4419162,T6_feedback,cycle_545_1755192523434,success:True,
1755192523.4492977,T5_command,cycle_545_1755192523434,arm_pose,
1755192523.4567783,T6_feedback,cycle_545_1755192523434,success:True,
1755192523.4656675,T4a_wrist_tf,cycle_545_1755192523434,wrist,
1755192523.4692469,T1_image,cycle_546_1755192523469,640x480,
1755192523.4941301,T4a_wrist_tf,cycle_546_1755192523469,wrist,
1755192523.5000386,T1_image,cycle_547_1755192523500,640x480,
1755192523.524836,T4a_wrist_tf,cycle_547_1755192523500,wrist,
1755192523.5490184,T1_image,cycle_548_1755192523548,640x480,
1755192523.566645,T1_image,cycle_549_1755192523566,640x480,
1755192523.578121,T4a_wrist_tf,cycle_548_1755192523548,wrist,
1755192523.5994723,T4a_wrist_tf,cycle_549_1755192523566,wrist,
1755192523.6004965,T1_image,cycle_550_1755192523600,640x480,
1755192523.6261435,T4a_wrist_tf,cycle_550_1755192523600,wrist,
1755192523.6349432,T1_image,cycle_551_1755192523634,640x480,
1755192523.6616492,T5_command,cycle_551_1755192523634,gripper_open,
1755192523.6657963,T4a_wrist_tf,cycle_551_1755192523634,wrist,
1755192523.66809,T1_image,cycle_552_1755192523668,640x480,
1755192523.671315,T6_feedback,cycle_552_1755192523668,success:True,
1755192523.6850214,T5_command,cycle_552_1755192523668,arm_pose,
1755192523.6925209,T6_feedback,cycle_552_1755192523668,success:True,
1755192523.697716,T4a_wrist_tf,cycle_552_1755192523668,wrist,
1755192523.7034192,T1_image,cycle_553_1755192523703,640x480,
1755192523.7284663,T4a_wrist_tf,cycle_553_1755192523703,wrist,
1755192523.7335544,T1_image,cycle_554_1755192523733,640x480,
1755192523.7605686,T4a_wrist_tf,cycle_554_1755192523733,wrist,
1755192523.7669113,T1_image,cycle_555_1755192523766,640x480,
1755192523.7948592,T4a_wrist_tf,cycle_555_1755192523766,wrist,
1755192523.8003757,T1_image,cycle_556_1755192523800,640x480,
1755192523.831708,T4a_wrist_tf,cycle_556_1755192523800,wrist,
1755192523.8335,T1_image,cycle_557_1755192523833,640x480,
1755192523.9012406,T4a_wrist_tf,cycle_557_1755192523833,wrist,
1755192523.9024718,T6_feedback,cycle_557_1755192523833,success:True,
1755192523.9025228,T1_image,cycle_558_1755192523870,640x480,
1755192523.9032745,T1_image,cycle_559_1755192523903,640x480,
1755192523.9034605,T5_command,cycle_557_1755192523833,gripper_open,
1755192523.9057515,T5_command,cycle_559_1755192523903,arm_pose,
1755192523.9201033,T6_feedback,cycle_559_1755192523903,success:True,
1755192523.9315274,T4a_wrist_tf,cycle_558_1755192523870,wrist,
1755192523.9373682,T1_image,cycle_560_1755192523937,640x480,
1755192523.956346,T4a_wrist_tf,cycle_559_1755192523903,wrist,
1755192523.9863408,T1_image,cycle_561_1755192523986,640x480,
1755192524.0161636,T4a_wrist_tf,cycle_560_1755192523937,wrist,
1755192524.022882,T1_image,cycle_562_1755192524022,640x480,
1755192524.0447922,T1_image,cycle_563_1755192524044,640x480,
1755192524.0595224,T4a_wrist_tf,cycle_561_1755192523986,wrist,
1755192524.0793717,T1_image,cycle_564_1755192524072,640x480,
1755192524.09899,T4a_wrist_tf,cycle_562_1755192524022,wrist,
1755192524.1004865,T5_command,cycle_564_1755192524072,gripper_open,
1755192524.1089494,T1_image,cycle_565_1755192524108,640x480,
1755192524.116866,T6_feedback,cycle_565_1755192524108,success:True,
1755192524.124831,T5_command,cycle_565_1755192524108,arm_pose,
1755192524.1317327,T4a_wrist_tf,cycle_563_1755192524044,wrist,
1755192524.1341698,T6_feedback,cycle_565_1755192524108,success:True,
1755192524.137106,T1_image,cycle_566_1755192524136,640x480,
1755192524.1545331,T4a_wrist_tf,cycle_564_1755192524072,wrist,
1755192524.1671736,T1_image,cycle_567_1755192524167,640x480,
1755192524.1810632,T4a_wrist_tf,cycle_565_1755192524108,wrist,
1755192524.1980295,T4a_wrist_tf,cycle_566_1755192524136,wrist,
1755192524.2005916,T1_image,cycle_568_1755192524200,640x480,
1755192524.2210205,T4a_wrist_tf,cycle_567_1755192524167,wrist,
1755192524.2347574,T1_image,cycle_569_1755192524234,640x480,
1755192524.2410076,T4a_wrist_tf,cycle_568_1755192524200,wrist,
1755192524.2588716,T4a_wrist_tf,cycle_569_1755192524234,wrist,
